"Relative Time (Process)","final_final-v0 - system/gpu.0.gpu","final_final-v0 - system/gpu.0.gpu__MIN","final_final-v0 - system/gpu.0.gpu__MAX"
"5526.313241276","97","97","97"
"5536.855742195","84","84","84"
"5541.313324813","99","99","99"
"5551.855402384","63","63","63"
"5556.313749198","99","99","99"
"5566.855877959","83","83","83"
"5571.312274884","62","62","62"
"5581.85666422","99","99","99"
"5586.313049984","63","63","63"
"5596.855878198","97","97","97"
"5601.312943421","91","91","91"
"5611.855425677","97","97","97"
"5616.313446182","97","97","97"
"5626.855593378","97","97","97"
"5631.312773306","99","99","99"
"5641.854754319","97","97","97"
"5646.312784754","99","99","99"
"5656.857861506","65","65","65"
"5661.313030099","97","97","97"
"5671.855533563","71","71","71"
"5676.312783013","99","99","99"
"5686.855292151","99","99","99"
"5691.313719335","99","99","99"
"5701.855128031","96","96","96"
"5706.311881103","47","47","47"
"5716.855680204","77","77","77"
"5721.313706929","97","97","97"
"5731.855525534","69","69","69"
"5736.313042149","97","97","97"
"5746.855561323","99","99","99"
"5751.31340338","99","99","99"
"5761.85506883","96","96","96"
"5766.312981624","63","63","63"
"5776.854954371","65","65","65"
"5781.31340977","99","99","99"
"5791.85599187","83","83","83"
"5796.313256126","78","78","78"
"5806.854642735","99","99","99"
"5811.313028931","69","69","69"
"5821.855678666","97","97","97"
"5826.312911319","99","99","99"
"5836.855566647","74","74","74"
"5841.312729758","97","97","97"
"5851.855256078","99","99","99"
"5856.313216313","99","99","99"
"5866.855777622","96","96","96"
"5871.312170592","98","98","98"
"5881.855639789","65","65","65"
"5886.313123063","72","72","72"
"5896.855464739","99","99","99"
"5901.312949324","79","79","79"
"5911.855441815","99","99","99"
"5916.312448808","98","98","98"
"5926.856475647","97","97","97"
"5931.312671041","99","99","99"
"5941.854918527","79","79","79"
"5946.313379016","99","99","99"
"5956.855536903","62","62","62"
"5961.313202003","64","64","64"
"5971.855566288","99","99","99"
"5976.312930135","64","64","64"
"5986.856413775","97","97","97"
"5991.312392001","99","99","99"
"6001.855118238","83","83","83"
"6006.313038787","96","96","96"
"6016.854767891","71","71","71"
"6021.313600499","99","99","99"
"6031.85578757","99","99","99"
"6036.313386254","70","70","70"
"6046.855375715","64","64","64"
"6051.312511069","83","83","83"
"6061.854327835","77","77","77"
"6066.312828079","98","98","98"
"6076.854496289","69","69","69"
"6081.314500383","67","67","67"
"6091.856402066","99","99","99"
"6096.312682289","59","59","59"
"6106.85539612","97","97","97"
