"Relative Time (Process)","final_final-v0 - system/gpu.0.memoryAllocatedBytes","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MIN","final_final-v0 - system/gpu.0.memoryAllocatedBytes__MAX"
"2226.312810843","27827306496","27827306496","27827306496"
"2236.854218672","27577745408","27577745408","27577745408"
"2241.311675263","27827306496","27827306496","27827306496"
"2251.855107015","27577745408","27577745408","27577745408"
"2256.312270195","27827306496","27827306496","27827306496"
"2266.85515979","27577745408","27577745408","27577745408"
"2271.31333583","27827306496","27827306496","27827306496"
"2281.854631656","27577745408","27577745408","27577745408"
"2286.313773523","27827306496","27827306496","27827306496"
"2296.855130093","27577745408","27577745408","27577745408"
"2301.313669064","27827306496","27827306496","27827306496"
"2311.85658587","27577745408","27577745408","27577745408"
"2316.311824033","27827306496","27827306496","27827306496"
"2326.854327922","27577745408","27577745408","27577745408"
"2331.312447375","27827306496","27827306496","27827306496"
"2341.855684046","27577745408","27577745408","27577745408"
"2346.313488125","27827306496","27827306496","27827306496"
"2356.856290717","27577745408","27577745408","27577745408"
"2361.312435376","27827306496","27827306496","27827306496"
"2371.854791764","27577745408","27577745408","27577745408"
"2376.312510758","27827306496","27827306496","27827306496"
"2386.854995524","27577745408","27577745408","27577745408"
"2391.31355159","27827306496","27827306496","27827306496"
"2401.854920934","27577745408","27577745408","27577745408"
"2406.313879968","27827306496","27827306496","27827306496"
"2416.854111387","27577745408","27577745408","27577745408"
"2421.31210598","27827306496","27827306496","27827306496"
"2431.856070237","27577745408","27577745408","27577745408"
"2436.312746514","27827306496","27827306496","27827306496"
"2446.856270546","27577745408","27577745408","27577745408"
"2451.312651018","27827306496","27827306496","27827306496"
"2461.855291398","27577745408","27577745408","27577745408"
"2466.312858687","27827306496","27827306496","27827306496"
"2476.855599089","27577745408","27577745408","27577745408"
"2481.31412549","27827306496","27827306496","27827306496"
"2491.855102649","27577745408","27577745408","27577745408"
"2496.313304481","27827306496","27827306496","27827306496"
"2506.854547863","27577745408","27577745408","27577745408"
"2511.31205411","27827306496","27827306496","27827306496"
"2521.855741344","27577745408","27577745408","27577745408"
"2526.312095346","27827306496","27827306496","27827306496"
"2536.855860215","27577745408","27577745408","27577745408"
"2541.31352819","27827306496","27827306496","27827306496"
"2551.855289388","27577745408","27577745408","27577745408"
"2556.312790885","27827306496","27827306496","27827306496"
