"epoch","final_final-v0 - train_loss_epoch","final_final-v0 - train_loss_epoch__MIN","final_final-v0 - train_loss_epoch__MAX","final_final-v0 - _step","final_final-v0 - _step__MIN","final_final-v0 - _step__MAX"
"223","0.7740505337715149","0.7740505337715149","0.7740505337715149","2431","2431","2431"
"224","0.7723506689071655","0.7723506689071655","0.7723506689071655","2442","2442","2442"
"225","0.7700394988059998","0.7700394988059998","0.7700394988059998","2453","2453","2453"
"226","0.773714005947113","0.773714005947113","0.773714005947113","2464","2464","2464"
"227","0.7780993580818176","0.7780993580818176","0.7780993580818176","2475","2475","2475"
"228","0.7692388892173767","0.7692388892173767","0.7692388892173767","2485","2485","2485"
"229","0.7753658294677734","0.7753658294677734","0.7753658294677734","2496","2496","2496"
"230","0.7779350876808167","0.7779350876808167","0.7779350876808167","2507","2507","2507"
"231","0.772009015083313","0.772009015083313","0.772009015083313","2518","2518","2518"
"232","0.7720515727996826","0.7720515727996826","0.7720515727996826","2529","2529","2529"
"233","0.7727379202842712","0.7727379202842712","0.7727379202842712","2540","2540","2540"
"234","0.7725298404693604","0.7725298404693604","0.7725298404693604","2551","2551","2551"
"235","0.7704581618309021","0.7704581618309021","0.7704581618309021","2561","2561","2561"
"236","0.7765740156173706","0.7765740156173706","0.7765740156173706","2572","2572","2572"
"237","0.7759993672370911","0.7759993672370911","0.7759993672370911","2583","2583","2583"
"238","0.7736042141914368","0.7736042141914368","0.7736042141914368","2594","2594","2594"
"239","0.7779703736305237","0.7779703736305237","0.7779703736305237","2605","2605","2605"
"240","0.7687993049621582","0.7687993049621582","0.7687993049621582","2616","2616","2616"
"241","0.7682568430900574","0.7682568430900574","0.7682568430900574","2627","2627","2627"
"242","0.7788429856300354","0.7788429856300354","0.7788429856300354","2637","2637","2637"
"243","0.7743390202522278","0.7743390202522278","0.7743390202522278","2648","2648","2648"
"244","0.7746168375015259","0.7746168375015259","0.7746168375015259","2659","2659","2659"
"245","0.7845383286476135","0.7845383286476135","0.7845383286476135","2670","2670","2670"
"246","0.7714277505874634","0.7714277505874634","0.7714277505874634","2681","2681","2681"
"247","0.7720777988433838","0.7720777988433838","0.7720777988433838","2692","2692","2692"
"248","0.7730156779289246","0.7730156779289246","0.7730156779289246","2703","2703","2703"
"249","0.7890365719795227","0.7890365719795227","0.7890365719795227","2714","2714","2714"
"250","0.7883862853050232","0.7779733538627625","0.7987992167472839","1366.5","9","2724"
"251","0.7904710173606873","0.7837166786193848","0.7972253561019897","1377.5","20","2735"
"252","0.8013359010219574","0.7908594012260437","0.8118124008178711","1388.5","31","2746"
"253","0.7728418111801147","0.7713858485221863","0.7742977738380432","1399.5","42","2757"
"254","0.7798731327056885","0.7766679525375366","0.7830783128738403","1410.5","53","2768"
"255","0.7785234451293945","0.7775659561157227","0.7794809341430664","1421.5","64","2779"
"256","0.7765817940235138","0.7719470262527466","0.781216561794281","1432.5","75","2790"
"257","0.776141494512558","0.7732509970664978","0.7790319919586182","1442.5","85","2800"
"258","0.7725172340869904","0.7711437344551086","0.7738907337188721","1453.5","96","2811"
"259","0.77577805519104","0.7688416838645935","0.7827144265174866","1464.5","107","2822"
"260","0.7727307677268982","0.7702252864837646","0.7752362489700317","1475.5","118","2833"
"261","0.7766976356506348","0.7759934067726135","0.777401864528656","1486.5","129","2844"
"262","0.7738709449768066","0.7726414799690247","0.7751004099845886","1497.5","140","2855"
"263","0.7700334191322327","0.7672950029373169","0.7727718353271484","1508.5","151","2866"
"264","0.7679875493049622","0.7660611867904663","0.769913911819458","1518.5","161","2876"
"265","0.7756878733634949","0.7737879157066345","0.7775878310203552","1529.5","172","2887"
"266","0.773345559835434","0.7727454304695129","0.773945689201355","1540.5","183","2898"
"267","0.769100695848465","0.7683567404747009","0.769844651222229","1551.5","194","2909"
"268","0.7734846770763397","0.7718556523323059","0.7751137018203735","1562.5","205","2920"
"269","0.7695448398590088","0.7683427929878235","0.7707468867301941","1573.5","216","2931"
"270","0.7713043987751007","0.7702890634536743","0.7723197340965271","1584.5","227","2942"
"271","0.7673251628875732","0.7673251628875732","0.7673251628875732","237","237","237"
"272","0.7650073766708374","0.7650073766708374","0.7650073766708374","248","248","248"
"273","0.7752571105957031","0.7752571105957031","0.7752571105957031","259","259","259"
"274","0.7683348059654236","0.7683348059654236","0.7683348059654236","270","270","270"
"275","0.775107204914093","0.775107204914093","0.775107204914093","281","281","281"
"276","0.7734942436218262","0.7734942436218262","0.7734942436218262","292","292","292"
"277","0.7738587856292725","0.7738587856292725","0.7738587856292725","303","303","303"
"278","0.7765488028526306","0.7765488028526306","0.7765488028526306","313","313","313"
"279","0.7709031105041504","0.7709031105041504","0.7709031105041504","324","324","324"
"280","0.7629700899124146","0.7629700899124146","0.7629700899124146","335","335","335"
"281","0.7661924958229065","0.7661924958229065","0.7661924958229065","346","346","346"
"282","0.7774776220321655","0.7774776220321655","0.7774776220321655","357","357","357"
"283","0.7686330676078796","0.7686330676078796","0.7686330676078796","368","368","368"
"284","0.7706384658813477","0.7706384658813477","0.7706384658813477","379","379","379"
"285","0.7716184854507446","0.7716184854507446","0.7716184854507446","389","389","389"
"286","0.7699373960494995","0.7699373960494995","0.7699373960494995","400","400","400"
"287","0.7761595249176025","0.7761595249176025","0.7761595249176025","411","411","411"
"288","0.7734901905059814","0.7734901905059814","0.7734901905059814","422","422","422"
"289","0.7762455344200134","0.7762455344200134","0.7762455344200134","433","433","433"
"290","0.7643148899078369","0.7643148899078369","0.7643148899078369","444","444","444"
"291","0.7711703181266785","0.7711703181266785","0.7711703181266785","455","455","455"
"292","0.7681446671485901","0.7681446671485901","0.7681446671485901","465","465","465"
"293","0.7633638978004456","0.7633638978004456","0.7633638978004456","476","476","476"
"294","0.7654863595962524","0.7654863595962524","0.7654863595962524","487","487","487"
"295","0.766117513179779","0.766117513179779","0.766117513179779","498","498","498"
"296","0.7707557678222656","0.7707557678222656","0.7707557678222656","509","509","509"
"297","0.7651300430297852","0.7651300430297852","0.7651300430297852","520","520","520"
