"Relative Time (Process)","onFlashIPA_v0 - system/gpu.0.gpu","onFlashIPA_v0 - system/gpu.0.gpu__MIN","onFlashIPA_v0 - system/gpu.0.gpu__MAX"
"6751.938307639","15","15","15"
"6766.938955202","14","14","14"
"6781.938664962","14","14","14"
"6796.938564419","15","15","15"
"6811.938678489","15","15","15"
"6826.938717129","14","14","14"
"6841.937935655","16","16","16"
"6856.938618639","13","13","13"
"6871.938102512","15","15","15"
"6886.938030174","15","15","15"
"6901.938693726","17","17","17"
"6916.938802453","15","15","15"
"6931.938693147","15","15","15"
"6946.937863075","13","13","13"
"6961.938810934","15","15","15"
"6976.938151976","14","14","14"
"6991.93818563","14","14","14"
"7006.93850353","14","14","14"
"7021.938742413","12","12","12"
"7036.938174031","15","15","15"
"7051.938765648","16","16","16"
"7066.938145462","14","14","14"
"7081.938463611","14","14","14"
"7096.938226966","13","13","13"
"7111.93847756","15","15","15"
"7126.938533946","13","13","13"
"7141.938467669","14","14","14"
"7156.938436926","15","15","15"
"7171.938668161","16","16","16"
"7186.938654003","14","14","14"
"7201.938028985","15","15","15"
"7216.938352823","15","15","15"
"7231.938483949","15","15","15"
"7246.938258672","14","14","14"
"7261.938310431","15","15","15"
"7276.93823325","14","14","14"
"7291.938696017","14","14","14"
"7306.937987034","14","14","14"
"7321.938795474","14","14","14"
"7336.938249065","14","14","14"
"7351.938215284","0","0","0"
"7366.938779323","15","15","15"
"7381.938112634","13","13","13"
"7396.938441584","15","15","15"
"7411.938550783","12","12","12"
"7426.938185578","14","14","14"
"7441.93879513","15","15","15"
"7456.938243373","17","17","17"
"7471.938056131","15","15","15"
"7486.938944898","13","13","13"
"7501.938178185","13","13","13"
"7516.938723552","17","17","17"
"7531.938159323","11","11","11"
"7546.938570558","15","15","15"
"7561.93850125","12","12","12"
"7576.937877673","13","13","13"
"7591.938134378","15","15","15"
"7606.938279426","14","14","14"
"7621.937901418","14","14","14"
"7636.93808864","15","15","15"
"7651.938370701","15","15","15"
"7666.937719548","13","13","13"
"7681.937969191","15","15","15"
"7696.937976329","14","14","14"
"7711.938232868","15","15","15"
"7726.938060918","15","15","15"
"7741.937937066","14","14","14"
"7756.938673362","13","13","13"
"7771.937567569","12","12","12"
"7786.938239455","10","10","10"
"7801.938348957","14","14","14"
"7816.938312783","14","14","14"
"7831.938299516","14","14","14"
"7846.938026368","15","15","15"
"7861.937999471","14","14","14"
"7876.938261902","22","22","22"
"7891.938609517","14","14","14"
"7906.938010274","14","14","14"
"7921.938030908","15","15","15"
"7936.937982304","14","14","14"
"7951.938763251","16","16","16"
"7966.938188321","18","18","18"
"7981.938571312","16","16","16"
"7996.93849118","14","14","14"
"8011.938086445","17","17","17"
"8026.938358626","20","20","20"
"8041.938098564","16","16","16"
"8056.937927983","12","12","12"
"8071.938781904","14","14","14"
"8086.939093468","16","16","16"
"8101.938338778","14","14","14"
"8116.938332736","14","14","14"
"8131.937779885","11","11","11"
"8146.938658371","14","14","14"
"8161.938317846","14","14","14"
"8176.93883499","15","15","15"
"8191.938017411","15","15","15"
"8206.938713722","16","16","16"
"8221.938043245","15","15","15"
"8236.938034877","14","14","14"
"8251.938082362","14","14","14"
"8266.938077704","14","14","14"
"8281.938302365","15","15","15"
"8296.938296625","14","14","14"
"8311.938771348","15","15","15"
"8326.938324351","14","14","14"
"8341.938349875","15","15","15"
"8356.938853822","14","14","14"
"8371.938540411","15","15","15"
"8386.938283958","15","15","15"
"8401.938469817","15","15","15"
"8416.938190529","15","15","15"
"8431.938665501","14","14","14"
"8446.938516562","14","14","14"
"8461.938632864","15","15","15"
"8476.938130497","15","15","15"
"8491.938397992","15","15","15"
"8506.938342036","15","15","15"
"8521.938357345","14","14","14"
"8536.938138218","14","14","14"
"8551.93828009","14","14","14"
"8566.93830903","5","5","5"
"8581.93891556","14","14","14"
"8596.938854271","15","15","15"
"8611.937962494","14","14","14"
"8626.938817817","11","11","11"
"8641.938612089","12","12","12"
"8656.93803762","13","13","13"
"8671.938026177","15","15","15"
"8686.93862201","15","15","15"
"8701.938365541","14","14","14"
"8716.938318763","15","15","15"
"8731.937850883","14","14","14"
"8746.938546309","15","15","15"
"8761.93883334","14","14","14"
"8776.938317539","13","13","13"
"8791.938501316","15","15","15"
"8806.938383613","15","15","15"
"8821.93853242","15","15","15"
"8836.938756911","14","14","14"
"8851.939259962","15","15","15"
"8866.938120605","15","15","15"
"8881.938040133","15","15","15"
"8896.937984719","15","15","15"
"8911.938429566","14","14","14"
"8926.937986389","15","15","15"
"8941.938914094","15","15","15"
"8956.938029746","14","14","14"
"8971.937867552","14","14","14"
"8986.938636904","15","15","15"
"9001.937817622","14","14","14"
"9016.938655091","16","16","16"
"9031.93885346","15","15","15"
"9046.938291326","15","15","15"
"9061.938335541","14","14","14"
"9076.938863406","17","17","17"
"9091.938554788","15","15","15"
"9106.937785294","14","14","14"
"9121.938551796","14","14","14"
"9136.938532011","14","14","14"
"9151.938090355","11","11","11"
"9166.938788849","11","11","11"
"9181.93783982","15","15","15"
"9196.937943656","15","15","15"
"9211.93855065","14","14","14"
"9226.937930381","16","16","16"
"9241.938631331","11","11","11"
"9256.937747874","15","15","15"
"9271.938736711","15","15","15"
"9286.938192566","15","15","15"
"9301.938422932","15","15","15"
"9316.937831293","14","14","14"
"9331.93863775","15","15","15"
"9346.938474036","14","14","14"
"9361.938227843","15","15","15"
"9376.938411925","16","16","16"
"9391.937963083","0","0","0"
"9406.9384487","15","15","15"
"9421.937849088","14","14","14"
"9436.938236594","14","14","14"
"9451.937935468","14","14","14"
"9466.938499971","17","17","17"
"9481.938703192","14","14","14"
"9496.938294053","15","15","15"
"9511.93849879","15","15","15"
"9526.938048273","13","13","13"
"9541.938194171","14","14","14"
"9556.938374876","11","11","11"
"9571.938459288","15","15","15"
"9586.938396119","14","14","14"
"9601.938383703","14","14","14"
"9616.938223276","15","15","15"
"9631.938667899","15","15","15"
"9646.938368461","14","14","14"
"9661.938602688","14","14","14"
"9676.938343763","15","15","15"
"9691.938824951","15","15","15"
"9706.937853742","14","14","14"
"9721.938910024","14","14","14"
"9736.938815399","15","15","15"
"9751.938023387","14","14","14"
"9766.937869866","15","15","15"
"9781.938553737","15","15","15"
"9796.938976578","15","15","15"
"9811.938357865","14","14","14"
"9826.938854528","14","14","14"
"9841.938558994","15","15","15"
"9856.938810417","16","16","16"
"9871.93806629","14","14","14"
"9886.938192158","14","14","14"
"9901.938865091","14","14","14"
"9916.93787105","16","16","16"
"9931.93865669","13","13","13"
"9946.938092469","13","13","13"
"9961.938801229","15","15","15"
"9976.938443133","15","15","15"
"9991.938880517","14","14","14"
"10006.938468848","14","14","14"
