"epoch","onFlashIPA_v0 - train_loss_epoch","onFlashIPA_v0 - train_loss_epoch__MIN","onFlashIPA_v0 - train_loss_epoch__MAX","onFlashIPA_v0 - _step","onFlashIPA_v0 - _step__MIN","onFlashIPA_v0 - _step__MAX"
"145","0.8679863214492798","0.8679863214492798","0.8679863214492798","1584","1584","1584"
"146","0.8640902638435364","0.8640902638435364","0.8640902638435364","1595","1595","1595"
"147","0.8737615346908569","0.8737615346908569","0.8737615346908569","1606","1606","1606"
"148","0.8684712648391724","0.8684712648391724","0.8684712648391724","1617","1617","1617"
"149","0.8665094375610352","0.8665094375610352","0.8665094375610352","1628","1628","1628"
"150","0.867014467716217","0.867014467716217","0.867014467716217","1638","1638","1638"
"151","0.8613123297691345","0.8613123297691345","0.8613123297691345","1649","1649","1649"
"152","0.867246687412262","0.867246687412262","0.867246687412262","1660","1660","1660"
"153","0.865554928779602","0.865554928779602","0.865554928779602","1671","1671","1671"
"154","0.8711789846420288","0.8711789846420288","0.8711789846420288","1682","1682","1682"
"155","0.8687859773635864","0.8687859773635864","0.8687859773635864","1693","1693","1693"
"156","0.8670515418052673","0.8670515418052673","0.8670515418052673","1704","1704","1704"
"157","0.8610785007476807","0.8610785007476807","0.8610785007476807","1714","1714","1714"
"158","0.870398223400116","0.870398223400116","0.870398223400116","1725","1725","1725"
"159","0.8597438335418701","0.8597438335418701","0.8597438335418701","1736","1736","1736"
"160","0.8639762997627258","0.8639762997627258","0.8639762997627258","1747","1747","1747"
"161","0.857509434223175","0.857509434223175","0.857509434223175","1758","1758","1758"
"162","0.861316978931427","0.861316978931427","0.861316978931427","1769","1769","1769"
"163","0.8677291870117188","0.8677291870117188","0.8677291870117188","1780","1780","1780"
"164","0.8656095862388611","0.8656095862388611","0.8656095862388611","1790","1790","1790"
"165","0.8626788854598999","0.8626788854598999","0.8626788854598999","1801","1801","1801"
"166","0.8657296895980835","0.8657296895980835","0.8657296895980835","1812","1812","1812"
"167","0.8600490093231201","0.8600490093231201","0.8600490093231201","1823","1823","1823"
"168","0.8558168411254883","0.8558168411254883","0.8558168411254883","1834","1834","1834"
"169","0.8575645685195923","0.8575645685195923","0.8575645685195923","1845","1845","1845"
"170","0.8584963083267212","0.8584963083267212","0.8584963083267212","1856","1856","1856"
"171","0.8574836254119873","0.8574836254119873","0.8574836254119873","1866","1866","1866"
"172","0.8624836206436157","0.8624836206436157","0.8624836206436157","1877","1877","1877"
"173","0.8573745489120483","0.8573745489120483","0.8573745489120483","1888","1888","1888"
"174","0.859947681427002","0.859947681427002","0.859947681427002","1899","1899","1899"
"175","0.8641322255134583","0.8641322255134583","0.8641322255134583","1910","1910","1910"
"176","0.8514425754547119","0.8514425754547119","0.8514425754547119","1921","1921","1921"
"177","0.8587079644203186","0.8587079644203186","0.8587079644203186","1932","1932","1932"
"178","0.8626469373703003","0.8626469373703003","0.8626469373703003","1942","1942","1942"
"179","0.8546887040138245","0.8546887040138245","0.8546887040138245","1953","1953","1953"
"180","0.859160840511322","0.859160840511322","0.859160840511322","1964","1964","1964"
"181","0.857657790184021","0.857657790184021","0.857657790184021","1975","1975","1975"
"182","0.8612054586410522","0.8612054586410522","0.8612054586410522","1986","1986","1986"
"183","0.8590556383132935","0.8590556383132935","0.8590556383132935","1997","1997","1997"
"184","0.8520306348800659","0.8520306348800659","0.8520306348800659","2008","2008","2008"
"185","0.8605952858924866","0.8605952858924866","0.8605952858924866","2018","2018","2018"
"186","0.8586309552192688","0.8586309552192688","0.8586309552192688","2029","2029","2029"
"187","0.8545613288879395","0.8545613288879395","0.8545613288879395","2040","2040","2040"
"188","0.8536223769187927","0.8536223769187927","0.8536223769187927","2051","2051","2051"
"189","0.8530935645103455","0.8530935645103455","0.8530935645103455","2062","2062","2062"
"190","0.8609054684638977","0.8609054684638977","0.8609054684638977","2073","2073","2073"
"191","0.8533734083175659","0.8533734083175659","0.8533734083175659","2084","2084","2084"
"192","0.857026994228363","0.857026994228363","0.857026994228363","2094","2094","2094"
"193","0.8498424887657166","0.8498424887657166","0.8498424887657166","2105","2105","2105"
"194","0.8528124690055847","0.8528124690055847","0.8528124690055847","2116","2116","2116"
"195","0.8532295823097229","0.8532295823097229","0.8532295823097229","2127","2127","2127"
"196","0.8478267192840576","0.8478267192840576","0.8478267192840576","2138","2138","2138"
"197","0.8500875234603882","0.8500875234603882","0.8500875234603882","2149","2149","2149"
"198","0.8630635142326355","0.8630635142326355","0.8630635142326355","2160","2160","2160"
"199","0.8476572632789612","0.8476572632789612","0.8476572632789612","2171","2171","2171"
"200","0.8504676222801208","0.8504676222801208","0.8504676222801208","2181","2181","2181"
"201","0.8560114502906799","0.8560114502906799","0.8560114502906799","2192","2192","2192"
"202","0.8573001623153687","0.8573001623153687","0.8573001623153687","2203","2203","2203"
"203","0.8563562631607056","0.8563562631607056","0.8563562631607056","2214","2214","2214"
"204","0.8509799838066101","0.8509799838066101","0.8509799838066101","2225","2225","2225"
"205","0.8452328443527222","0.8452328443527222","0.8452328443527222","2236","2236","2236"
"206","0.8520363569259644","0.8520363569259644","0.8520363569259644","2247","2247","2247"
"207","0.8510940670967102","0.8510940670967102","0.8510940670967102","2257","2257","2257"
"208","0.8499773740768433","0.8499773740768433","0.8499773740768433","2268","2268","2268"
"209","0.8535024523735046","0.8535024523735046","0.8535024523735046","2279","2279","2279"
"210","0.8442614674568176","0.8442614674568176","0.8442614674568176","2290","2290","2290"
"211","0.8533302545547485","0.8533302545547485","0.8533302545547485","2301","2301","2301"
"212","0.8556867837905884","0.8556867837905884","0.8556867837905884","2312","2312","2312"
"213","0.850795328617096","0.850795328617096","0.850795328617096","2323","2323","2323"
"214","0.8521261811256409","0.8521261811256409","0.8521261811256409","2333","2333","2333"
"215","0.846390426158905","0.846390426158905","0.846390426158905","2344","2344","2344"
"216","0.8481128811836243","0.8481128811836243","0.8481128811836243","2355","2355","2355"
"217","0.8533241748809814","0.8533241748809814","0.8533241748809814","2366","2366","2366"
"218","0.8584794998168945","0.8584794998168945","0.8584794998168945","2377","2377","2377"
"219","0.8499970436096191","0.8499970436096191","0.8499970436096191","2388","2388","2388"
"220","0.8485255837440491","0.8485255837440491","0.8485255837440491","2399","2399","2399"
"221","0.849309504032135","0.849309504032135","0.849309504032135","2409","2409","2409"
"222","0.8457927703857422","0.8457927703857422","0.8457927703857422","2420","2420","2420"
"223","0.853049635887146","0.853049635887146","0.853049635887146","2431","2431","2431"
"224","0.8479635119438171","0.8479635119438171","0.8479635119438171","2442","2442","2442"
"225","0.8477148413658142","0.8477148413658142","0.8477148413658142","2453","2453","2453"
"226","0.8493505716323853","0.8493505716323853","0.8493505716323853","2464","2464","2464"
"227","0.8510543704032898","0.8510543704032898","0.8510543704032898","2475","2475","2475"
"228","0.8451862335205078","0.8451862335205078","0.8451862335205078","2485","2485","2485"
"229","0.8527498841285706","0.8527498841285706","0.8527498841285706","2496","2496","2496"
"230","0.854713499546051","0.854713499546051","0.854713499546051","2507","2507","2507"
"231","0.848399817943573","0.848399817943573","0.848399817943573","2518","2518","2518"
"232","0.8433550596237183","0.8433550596237183","0.8433550596237183","2529","2529","2529"
"233","0.8498943448066711","0.8498943448066711","0.8498943448066711","2540","2540","2540"
"234","0.843474268913269","0.843474268913269","0.843474268913269","2551","2551","2551"
"235","0.8470703959465027","0.8470703959465027","0.8470703959465027","2561","2561","2561"
"236","0.8513705730438232","0.8513705730438232","0.8513705730438232","2572","2572","2572"
