"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.gpu","skilled-firefly-1 - system/gpu.0.gpu__MIN","skilled-firefly-1 - system/gpu.0.gpu__MAX"
"5057.099708","99","99","99"
"5057.099708369","99","99","99"
"5072.099932","74","74","74"
"5087.098742","80","80","80"
"5087.098742246","80","80","80"
"5102.099965","96","96","96"
"5102.099965955","96","96","96"
"5117.099426","96","96","96"
"5117.099426784","96","96","96"
"5132.098717","89","89","89"
"5132.098717379","89","89","89"
"5147.100103","97","97","97"
"5147.100103247","97","97","97"
"5162.098711","79","79","79"
"5162.098711914","79","79","79"
"5177.100195","96","96","96"
"5177.10019505","96","96","96"
"5192.099987","96","96","96"
"5192.099987186","96","96","96"
"5207.100002","96","96","96"
"5207.100002862","96","96","96"
"5222.099713","66","66","66"
"5222.099713432","66","66","66"
"5237.099336","99","99","99"
"5237.099336118","99","99","99"
"5252.099928","96","96","96"
"5252.099928669","96","96","96"
"5267.09946","77","77","77"
"5282.099212","99","99","99"
"5282.099212055","99","99","99"
"5297.099247","96","96","96"
"5297.099247117","96","96","96"
"5312.100118","91","91","91"
"5312.100118707","91","91","91"
"5327.099108","65","65","65"
"5327.099108394","65","65","65"
"5342.100448","96","96","96"
"5342.10044849","96","96","96"
"5357.100414","99","99","99"
"5357.100414557","99","99","99"
"5372.099314","96","96","96"
"5372.099314345","96","96","96"
"5387.100051","66","66","66"
"5402.100436","99","99","99"
"5402.100436891","99","99","99"
"5417.099309","96","96","96"
"5417.099309511","96","96","96"
"5432.099721","65","65","65"
"5432.099721915","65","65","65"
"5447.099257","99","99","99"
"5462.099084","91","91","91"
"5462.099084263","91","91","91"
"5477.100475","76","76","76"
"5477.100475289","76","76","76"
"5492.100235","84","84","84"
"5492.100235147","84","84","84"
"5507.099827","98","98","98"
"5522.099681","29","29","29"
"5522.099681998","29","29","29"
"5537.099289","77","77","77"
"5537.099289872","77","77","77"
"5552.099867","79","79","79"
"5552.099867576","79","79","79"
"5567.099453","96","96","96"
"5567.099453618","96","96","96"
"5582.099122","84","84","84"
"5582.099122759","84","84","84"
"5597.099947","72","72","72"
"5597.099947801","72","72","72"
"5612.099528","96","96","96"
"5627.098821","95","95","95"
"5627.098821606","95","95","95"
"5642.100306","81","81","81"
"5642.100306428","81","81","81"
"5657.100105","96","96","96"
"5672.09973","63","63","63"
"5672.099730856","63","63","63"
"5687.099432","72","72","72"
"5687.099432496","72","72","72"
"5702.099255","96","96","96"
"5702.099255613","96","96","96"
"5717.099782","84","84","84"
"5717.099782317","84","84","84"
"5732.098961","99","99","99"
"5747.099033","96","96","96"
"5747.099033563","96","96","96"
"5762.099895","65","65","65"
"5762.099895989","65","65","65"
"5777.099486","99","99","99"
"5777.099486935","99","99","99"
"5792.100364","79","79","79"
"5792.100364189","79","79","79"
"5807.100617","76","76","76"
"5807.100617328","76","76","76"
"5822.10021","99","99","99"
"5822.100210661","99","99","99"
"5837.098484","95","95","95"
"5852.0999","78","78","78"
"5852.099900541","78","78","78"
"5867.099958","70","70","70"
"5882.100401","96","96","96"
"5882.100401736","96","96","96"
"5897.099575","59","59","59"
"5912.099895","99","99","99"
"5912.099895834","99","99","99"
"5927.099366","78","78","78"
"5927.099366769","78","78","78"
"5942.09941","99","99","99"
"5942.099410199","99","99","99"
"5957.099683","95","95","95"
"5972.098859","73","73","73"
"5972.09885946","73","73","73"
"5987.100261","92","92","92"
"5987.100261814","92","92","92"
"6002.099845","94","94","94"
"6002.099845531","94","94","94"
"6017.100368","93","93","93"
"6017.100368762","93","93","93"
"6032.099656","96","96","96"
"6032.099656517","96","96","96"
"6047.099954","80","80","80"
"6047.09995462","80","80","80"
"6062.100312","99","99","99"
"6062.100312107","99","99","99"
"6077.099151","65","65","65"
"6077.099151748","65","65","65"
"6092.09976","99","99","99"
"6092.099760255","99","99","99"
"6107.099942","99","99","99"
"6107.099942464","99","99","99"
"6122.10043","74","74","74"
"6122.100430687","74","74","74"
"6137.099722","84","84","84"
"6137.099722146","84","84","84"
"6152.100044","93","93","93"
"6167.100141","79","79","79"
"6167.100141283","79","79","79"
"6182.10038","95","95","95"
"6182.100380806","95","95","95"
"6197.100884","81","81","81"
"6197.100884978","81","81","81"
"6212.101477","99","99","99"
"6212.101477531","99","99","99"
"6227.102465","96","96","96"
"6227.102465073","96","96","96"
"6242.100536","61","61","61"
"6242.100536903","61","61","61"
"6257.099297","96","96","96"
"6257.099297296","96","96","96"
"6272.099153","59","59","59"
"6287.100355","99","99","99"
"6302.099895","92","92","92"
"6317.098584","58","58","58"
"6332.099205","99","99","99"
"6332.099205188","99","99","99"
"6347.099913","87","87","87"
"6362.099541","99","99","99"
"6362.099541284","99","99","99"
"6377.099671","96","96","96"
"6392.099599","62","62","62"
"6392.099599361","62","62","62"
"6407.099586","99","99","99"
"6407.099586649","99","99","99"
"6422.100291","96","96","96"
"6437.10016","96","96","96"
"6437.100160732","96","96","96"
"6452.099749","94","94","94"
"6467.099808","91","91","91"
"6482.09943","99","99","99"
"6482.099430244","99","99","99"
"6497.099465","96","96","96"
"6497.099465549","96","96","96"
"6512.100006","99","99","99"
"6512.100006593","99","99","99"
"6527.099364","96","96","96"
"6542.100505","85","85","85"
"6542.100505615","85","85","85"
"6557.099985","99","99","99"
"6557.099985551","99","99","99"
"6572.099317","96","96","96"
"6572.099317454","96","96","96"
"6587.099291","64","64","64"
"6587.099291622","64","64","64"
"6602.102002","99","99","99"
"6602.102002519","99","99","99"
"6617.099997","93","93","93"
"6617.099997525","93","93","93"
"6632.099778","99","99","99"
"6632.099778246","99","99","99"
"6647.100211","99","99","99"
"6647.100211439","99","99","99"
"6662.100253","96","96","96"
"6662.100253378","96","96","96"
"6677.099777","96","96","96"
"6677.099777339","96","96","96"
"6692.10012","62","62","62"
"6692.100120724","62","62","62"
"6707.099419","99","99","99"
"6707.099419689","99","99","99"
"6722.100003","96","96","96"
"6722.100003286","96","96","96"
"6737.099243","65","65","65"
"6737.099243458","65","65","65"
"6752.100615","99","99","99"
"6752.100615245","99","99","99"
"6767.099757","95","95","95"
"6767.09975768","95","95","95"
"6782.100154","66","66","66"
"6782.100154948","66","66","66"
"6797.100828","99","99","99"
"6797.100828306","99","99","99"
"6812.0996","96","96","96"
"6812.099600558","96","96","96"
"6827.099385","58","58","58"
"6827.099385341","58","58","58"
"6842.100151","99","99","99"
"6842.100151207","99","99","99"
"6857.09984","95","95","95"
"6857.099840815","95","95","95"
"6872.099849","62","62","62"
"6872.0998497","62","62","62"
"6887.099575","99","99","99"
"6887.099575743","99","99","99"
"6902.099939","95","95","95"
"6902.099939242","95","95","95"
"6917.101056","89","89","89"
"6932.099261","99","99","99"
"6932.099261363","99","99","99"
"6947.100045","96","96","96"
"6947.100045959","96","96","96"
"6962.098985","80","80","80"
"6962.098985636","80","80","80"
"6977.099518","99","99","99"
"6992.09964","61","61","61"
"6992.099640217","61","61","61"
"7007.100224","65","65","65"
"7007.10022451","65","65","65"
"7022.099134","99","99","99"
"7022.099134499","99","99","99"
"7037.0997","99","99","99"
"7037.099700396","99","99","99"
"7052.100063","65","65","65"
"7052.100063989","65","65","65"
"7067.09847","99","99","99"
"7067.098470118","99","99","99"
"7082.100107","99","99","99"
"7082.10010779","99","99","99"
"7097.099729","99","99","99"
"7097.099729786","99","99","99"
"7112.098839","96","96","96"
"7112.098839821","96","96","96"
"7127.099728","94","94","94"
"7127.099728252","94","94","94"
"7142.099861","99","99","99"
"7142.09986121","99","99","99"
"7157.099025","95","95","95"
"7157.099025244","95","95","95"
"7172.099323","99","99","99"
"7187.099683","89","89","89"
"7187.099683814","89","89","89"
"7202.099238","95","95","95"
"7202.099238391","95","95","95"
"7217.099527","99","99","99"
"7217.09952761","99","99","99"
"7232.099686","72","72","72"
"7232.099686125","72","72","72"
"7247.099313","96","96","96"
"7247.099313541","96","96","96"
"7262.099839","86","86","86"
"7262.099839797","86","86","86"
"7277.098517","99","99","99"
"7277.098517494","99","99","99"
"7292.098879","96","96","96"
"7292.098879392","96","96","96"
"7307.099988","84","84","84"
"7307.099988691","84","84","84"
"7322.098815","99","99","99"
"7322.098815689","99","99","99"
"7337.099848","96","96","96"
"7337.09984852","96","96","96"
"7352.100142","98","98","98"
"7367.099313","83","83","83"
"7367.099313974","83","83","83"
"7382.09958","96","96","96"
"7382.099580433","96","96","96"
"7397.099505","70","70","70"
"7412.100143","86","86","86"
"7412.100143893","86","86","86"
"7427.099323","96","96","96"
"7427.099323315","96","96","96"
"7442.100558","75","75","75"
"7442.100558276","75","75","75"
