"Relative Time (Process)","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MIN","skilled-firefly-1 - system/gpu.0.memoryAllocatedBytes__MAX"
"70787.09979","31704940544","31704940544","31704940544"
"70802.100225","31704940544","31704940544","31704940544"
"70817.099502","31704940544","31704940544","31704940544"
"70832.099211","31704940544","31704940544","31704940544"
"70847.100005","31704940544","31704940544","31704940544"
"70862.098472","31704940544","31704940544","31704940544"
"70877.100005","31704940544","31704940544","31704940544"
"70892.09961","31704940544","31704940544","31704940544"
"70907.100315","31704940544","31704940544","31704940544"
"70922.099896","31704940544","31704940544","31704940544"
"70937.099806","31704940544","31704940544","31704940544"
"70952.099697","31704940544","31704940544","31704940544"
"70967.099995","31704940544","31704940544","31704940544"
"70982.099666","31704940544","31704940544","31704940544"
"70997.100317","31704940544","31704940544","31704940544"
"71012.099504","31704940544","31704940544","31704940544"
"71027.100047","31704940544","31704940544","31704940544"
"71042.100325","31704940544","31704940544","31704940544"
"71057.099852","31704940544","31704940544","31704940544"
"71072.100213","31704940544","31704940544","31704940544"
"71087.099802","31704940544","31704940544","31704940544"
"71102.099948","31704940544","31704940544","31704940544"
"71117.09992","31704940544","31704940544","31704940544"
"71132.09931","31704940544","31704940544","31704940544"
"71147.098705","31704940544","31704940544","31704940544"
"71162.100539","31704940544","31704940544","31704940544"
"71177.100778","31704940544","31704940544","31704940544"
"71192.099151","31704940544","31704940544","31704940544"
"71207.100226","31704940544","31704940544","31704940544"
"71222.099125","31704940544","31704940544","31704940544"
"71237.099942","31704940544","31704940544","31704940544"
"71252.100007","31704940544","31704940544","31704940544"
"71267.10041","31704940544","31704940544","31704940544"
"71282.100328","31704940544","31704940544","31704940544"
"71297.099234","31704940544","31704940544","31704940544"
"71312.098471","31704940544","31704940544","31704940544"
"71327.100096","31704940544","31704940544","31704940544"
"71342.099323","31704940544","31704940544","31704940544"
"71357.100624","31704940544","31704940544","31704940544"
"71372.100238","31704940544","31704940544","31704940544"
"71387.099284","31704940544","31704940544","31704940544"
"71402.100218","31704940544","31704940544","31704940544"
"71417.098615","31704940544","31704940544","31704940544"
"71432.099801","31704940544","31704940544","31704940544"
"71447.099893","31704940544","31704940544","31704940544"
"71462.100301","31704940544","31704940544","31704940544"
"71477.099244","31704940544","31704940544","31704940544"
"71492.099025","31704940544","31704940544","31704940544"
"71507.099703","31704940544","31704940544","31704940544"
"71522.10024","31704940544","31704940544","31704940544"
